response_id,persona_type,role,company_size,industry,presets_created,workflow_time_minutes,main_frustration,magic_wand_fix,manual_pain_score,pain_level_category,ai_trust_level,trust_level_category,auto_highlight_reaction,error_tolerance,paste_frequency,feature_auto_detect,feature_live_preview,feature_templates,time_savings_30,time_savings_50,time_savings_70
1,power_user,Concept Artist,Small (2-10),Publishing,13,18,Connecting variables is tedious,One-click preset creation,7,High,0.7,High,Not interested,38,daily,5,4,3,False,True,False
2,power_user,VFX Artist,Small (2-10),Film/TV,17,24,Connecting variables is tedious,Auto-detect variable parts,8,High,0.7,High,Skeptical but willing to try,31,daily,5,5,5,True,True,False
3,power_user,Art Director,Large (50+),Publishing,12,24,Manual node creation takes too long,Auto-detect variable parts,7,High,0.8,High,Cautiously optimistic,40,rarely,5,5,3,True,True,True
4,power_user,VFX Artist,Large (50+),Other,16,37,Hard to visualize final result,One-click preset creation,6,Medium,0.8,High,Cautiously optimistic,28,daily,4,4,5,True,False,False
5,power_user,VFX Artist,Medium (11-50),Advertising,18,27,Connecting variables is tedious,Faster node connections,8,High,0.7,High,Very excited,24,daily,4,5,4,True,False,True
6,power_user,Graphic Designer,Medium (11-50),Gaming,13,33,Connecting variables is tedious,Auto-detect variable parts,9,Very High,0.8,High,Not interested,36,monthly,4,4,4,False,True,True
7,power_user,Illustrator,Large (50+),Film/TV,12,17,Manual node creation takes too long,Auto-detect variable parts,9,Very High,0.8,High,Somewhat interested,37,weekly,4,4,5,False,True,False
8,power_user,VFX Artist,Small (2-10),Other,15,17,Hard to visualize final result,Template library,6,Medium,0.8,High,Not interested,20,weekly,4,4,3,False,True,True
9,power_user,VFX Artist,Large (50+),Gaming,19,30,Difficult to identify variable parts,Auto-detect variable parts,7,High,0.6,Medium,Skeptical but willing to try,33,daily,5,4,3,True,False,True
10,power_user,Illustrator,Medium (11-50),Publishing,18,23,Difficult to identify variable parts,Auto-detect variable parts,7,High,0.7,High,Not interested,21,rarely,4,4,4,True,True,True
11,power_user,Concept Artist,Freelance,Gaming,16,40,Connecting variables is tedious,Better visual preview,7,High,0.7,High,Very excited,37,weekly,4,4,5,True,True,True
12,power_user,Concept Artist,Large (50+),Other,18,17,Too many clicks required,Auto-detect variable parts,8,High,0.7,High,Skeptical but willing to try,38,daily,5,5,3,False,True,True
13,power_user,Art Director,Medium (11-50),Film/TV,13,16,Too many clicks required,One-click preset creation,8,High,0.8,High,Very excited,31,monthly,5,5,5,False,True,True
14,power_user,Graphic Designer,Small (2-10),Publishing,13,34,Hard to visualize final result,Template library,8,High,0.8,High,Cautiously optimistic,40,weekly,5,4,3,True,False,True
15,power_user,Graphic Designer,Large (50+),Other,20,25,Manual node creation takes too long,One-click preset creation,6,Medium,0.7,High,Cautiously optimistic,37,daily,4,4,4,True,True,True
16,power_user,Graphic Designer,Small (2-10),Gaming,14,20,Connecting variables is tedious,Auto-detect variable parts,9,Very High,0.8,High,Cautiously optimistic,27,weekly,5,5,3,True,True,False
17,power_user,Graphic Designer,Large (50+),Other,12,27,Hard to visualize final result,Auto-detect variable parts,8,High,0.7,High,Cautiously optimistic,32,monthly,5,5,3,True,False,False
18,power_user,VFX Artist,Medium (11-50),Publishing,20,22,Too many clicks required,Better visual preview,7,High,0.7,High,Skeptical but willing to try,36,daily,4,4,5,True,False,False
19,power_user,Art Director,Freelance,Advertising,17,34,Too many clicks required,One-click preset creation,7,High,0.8,High,Skeptical but willing to try,39,rarely,5,5,4,False,False,False
20,power_user,Art Director,Freelance,Film/TV,20,40,Manual node creation takes too long,Better visual preview,7,High,0.8,High,Somewhat interested,20,weekly,4,4,4,False,True,True
21,power_user,Graphic Designer,Large (50+),Gaming,18,20,Too many clicks required,Auto-detect variable parts,9,Very High,0.8,High,Very excited,24,weekly,5,5,5,False,True,True
22,power_user,VFX Artist,Large (50+),Publishing,16,27,Hard to visualize final result,Better visual preview,7,High,0.7,High,Cautiously optimistic,22,monthly,4,5,5,True,True,False
23,power_user,Art Director,Large (50+),Gaming,12,28,Difficult to identify variable parts,Auto-detect variable parts,8,High,0.7,High,Skeptical but willing to try,31,rarely,5,4,4,False,False,False
24,power_user,Illustrator,Medium (11-50),Film/TV,20,22,Too many clicks required,Auto-detect variable parts,8,High,0.8,High,Skeptical but willing to try,34,daily,4,5,4,True,False,False
25,power_user,VFX Artist,Freelance,Gaming,19,11,Hard to visualize final result,Auto-detect variable parts,7,High,0.8,High,Very excited,26,daily,4,4,4,False,True,True
26,power_user,Graphic Designer,Freelance,Publishing,16,10,Hard to visualize final result,Faster node connections,8,High,0.7,High,Somewhat interested,38,rarely,4,4,5,False,False,True
27,power_user,Art Director,Large (50+),Other,19,23,Hard to visualize final result,One-click preset creation,9,Very High,0.7,High,Somewhat interested,40,rarely,5,5,5,True,False,False
28,power_user,Illustrator,Large (50+),Publishing,18,20,Difficult to identify variable parts,One-click preset creation,8,High,0.6,Medium,Somewhat interested,28,rarely,5,4,5,True,True,True
29,power_user,Graphic Designer,Freelance,Other,12,19,Connecting variables is tedious,One-click preset creation,9,Very High,0.6,Medium,Not interested,35,monthly,5,5,5,True,False,True
