,Hypothesis,Metric,Share,Status,Rank1_Count,Rank2_Count,Top2_Share,Share,ProblemSeverity_avg,SolutionFit_avg,AdoptionLikelihood_avg
0,Users spend >10 minutes creating presets manually,42% over 10 minutes,0.42,⚠️ Partially,,,,,3.14,3.58,3.3
1,Identifying variable parts is a significant pain point,22% cite variable-ID as top pain,0.22,❌ Invalidated,,,,,,,
2,Users frequently paste prompts from external sources,72% reuse prompts daily/weekly,0.72,✅ Validated,,,,,,,
3,50% parse accuracy would still be valuable,46% accept 50% accuracy if fixable,0.46,⚠️ Partially,,,,,,,
4,Auto-parsing is preferred over template library,1 (auto > template in Rank1 share),1.0,✅ Validated,,,,,,,
5,Asset binding is expected/desired (Top-2 feature),30% rank assets in Top-2,0.3,❌ Invalidated,,,,,,,
6,Keyboard shortcuts are important (Top-2 feature),36% rank shortcuts in Top-2,0.36,⚠️ Partially,,,,,,,
7,Live preview is necessary (Top-2 feature),48% rank preview in Top-2,0.48,⚠️ Partially,,,,,,,
Auto-detect variable segments,,,,,13.0,11.0,0.48,,,,
Search & bind assets,,,,,6.0,9.0,0.3,,,,
Keyboard shortcuts,,,,,8.0,10.0,0.36,,,,
Live preview of variations,,,,,15.0,9.0,0.48,,,,
Save as reusable template,,,,,8.0,11.0,0.38,,,,
Integrated in canvas,,,,,,,,0.36,,,
Wizard/Assistant,,,,,,,,0.34,,,
Both (contextual),,,,,,,,0.3,,,
